nombre,apellido,cargo,foto_url,wikidata_id,provincia,bloque,partido,mandato,mandato_inicio,mandato_fin,fuente_url,fuente_nombre,ministerio
Joaquín,Ojeda,diputado,https://parlamentaria.hcdn.gob.ar/image/20358926933_20251126131046000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Kelly,Olmos,diputado,https://parlamentaria.hcdn.gob.ar/image/27104003465_20251211133815000_small.png,,Ciudad de Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Blanca Inés,Osuna,diputado,https://parlamentaria.hcdn.gob.ar/image/27065013253_20200206125406_small.png,,Entre Rios,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Pablo,Outes,diputado,https://parlamentaria.hcdn.gob.ar/image/20186082134_20231206151257000_small.png,,Salta,INNOVACIÓN FEDERAL,INNOVACIÓN FEDERAL,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Marcela Marina,Pagano,diputado,https://parlamentaria.hcdn.gob.ar/image/27319281628_20231128104503000_small.png,,Buenos Aires,COHERENCIA,COHERENCIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Sergio Omar,Palazzo,diputado,https://parlamentaria.hcdn.gob.ar/image/20160116006_20211202190948000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Claudia María,Palladino,diputado,https://parlamentaria.hcdn.gob.ar/image/27177269323_20251127141926000_small.png,,Catamarca,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Sebastián,Pareja,diputado,https://parlamentaria.hcdn.gob.ar/image/20249630161_20251127082608000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
María Graciela,Parola,diputado,https://parlamentaria.hcdn.gob.ar/image/27267107721_20200206125405_small.png,,Formosa,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Marcos,Patiño Brizuela,diputado,https://parlamentaria.hcdn.gob.ar/image/20187947740_20251126134524000_small.png,,Cordoba,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Santiago,Pauli,diputado,https://parlamentaria.hcdn.gob.ar/image/20330842025_20250310200035000_small.png,,Tierra del Fuego,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Esteban,Paulón,diputado,https://parlamentaria.hcdn.gob.ar/image/20265696725_20231206151402000_small.png,,Santa Fe,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Gabriela,Pedrali,diputado,https://parlamentaria.hcdn.gob.ar/image/27167558742_20251204153727000_small.png,,La Rioja,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Agustín,Pellegrini,diputado,https://parlamentaria.hcdn.gob.ar/image/20423258609_20251211134659000_small.png,,Santa Fe,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Federico Agustín,Pelli,diputado,https://parlamentaria.hcdn.gob.ar/image/20318128031_20251126135026000_small.png,,Tucuman,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
José,Peluc,diputado,https://parlamentaria.hcdn.gob.ar/image/20229030680_20231128104116000_small.png,,San Juan,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Paula Andrea,Penacca,diputado,https://parlamentaria.hcdn.gob.ar/image/27288605993_20231129153817000_small.png,,Ciudad de Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Luis,Petri,diputado,https://parlamentaria.hcdn.gob.ar/image/20258871112_20251215092917000_small.png,,Mendoza,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
María Lorena,Petrovich,diputado,https://parlamentaria.hcdn.gob.ar/image/27276017328_20251215093643000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2025-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Luis Albino,Picat,diputado,https://parlamentaria.hcdn.gob.ar/image/24240124552_20231129152201000_small.png,,Cordoba,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Miguel Ángel,Pichetto,diputado,https://parlamentaria.hcdn.gob.ar/image/20084824403_20231207101138000_small.png,,Buenos Aires,ENCUENTRO FEDERAL,ENCUENTRO FEDERAL,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Nancy Viviana,Picón Martínez,diputado,https://parlamentaria.hcdn.gob.ar/image/27251183207_20231129153354000_small.png,,San Juan,PRODUCCION Y TRABAJO,PRODUCCION Y TRABAJO,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Horacio,Pietragalla Corti,diputado,https://parlamentaria.hcdn.gob.ar/image/20260191951_20251126135219000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Nestor,Pitrola,diputado,https://parlamentaria.hcdn.gob.ar/image/20104458832_20251201112051000_small.png,,Buenos Aires,PARTIDO OBRERO EN EL FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,PARTIDO OBRERO EN EL FRENTE DE IZQUIERDA Y DE TRABAJADORES-UNIDAD,2023-2027,2025-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Lorena,Pokoik,diputado,https://parlamentaria.hcdn.gob.ar/image/27232050107_20231128101305000_small.png,,Ciudad de Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
María Celeste,Ponce,diputado,https://parlamentaria.hcdn.gob.ar/image/27329016817_20240220173740000_small.png,,Cordoba,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Luciana,Potenza,diputado,https://parlamentaria.hcdn.gob.ar/image/27383193562_20231205094547000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Agustina Lucrecia,Propato,diputado,https://parlamentaria.hcdn.gob.ar/image/27295495540_20251203103219000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Manuel,Quintar,diputado,https://parlamentaria.hcdn.gob.ar/image/20286470298_20231212100502000_small.png,,Jujuy,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Ariel,Rauschenberger,diputado,https://parlamentaria.hcdn.gob.ar/image/20173488956_20231207102606000_small.png,,La Pampa,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Valentina,Ravera,diputado,https://parlamentaria.hcdn.gob.ar/image/27421829816_20251126135634000_small.png,,Santa Fe,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Verónica,Razzini,diputado,https://parlamentaria.hcdn.gob.ar/image/27280877188_20231206151457000_small.png,,Santa Fe,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Karen,Reichardt,diputado,https://parlamentaria.hcdn.gob.ar/image/27208314128_20251126140748000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Gastón,Riesco,diputado,https://parlamentaria.hcdn.gob.ar/image/20328293162_20251126141016000_small.png,,Neuquen,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Cristian A.,Ritondo,diputado,https://parlamentaria.hcdn.gob.ar/image/20178562038_20200206125410_small.png,,Buenos Aires,PRO,PRO,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Jorge,Rizzotti,diputado,https://parlamentaria.hcdn.gob.ar/image/20147877596_20231129151608000_small.png,,Jujuy,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Santiago Luis,Roberto,diputado,https://parlamentaria.hcdn.gob.ar/image/20228130770_20251126141452000_small.png,,Ciudad de Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Gonzalo,Roca,diputado,https://parlamentaria.hcdn.gob.ar/image/20270799044_20251126141757000_small.png,,Cordoba,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Miguel,Rodríguez,diputado,https://parlamentaria.hcdn.gob.ar/image/20327299264_20251126142417000_small.png,,Tierra del Fuego,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Laura Elena,Rodríguez Machado,diputado,https://parlamentaria.hcdn.gob.ar/image/27148917987_20251201132523000_small.png,,Cordoba,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Agustín Oscar,Rossi,diputado,https://parlamentaria.hcdn.gob.ar/image/20136518772_20251204154656000_small.png,,Santa Fe,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Yamila,Ruíz,diputado,https://parlamentaria.hcdn.gob.ar/image/27364093786_20231206151604000_small.png,,Misiones,INNOVACIÓN FEDERAL,INNOVACIÓN FEDERAL,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Marina Dorotea,Salzmann,diputado,https://parlamentaria.hcdn.gob.ar/image/27352538626_20251126143421000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Javier,Sánchez Wrba,diputado,https://parlamentaria.hcdn.gob.ar/image/20304639335_20251204154911000_small.png,,Buenos Aires,PRO,PRO,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Nancy,Sand,diputado,https://parlamentaria.hcdn.gob.ar/image/27165495239_20231128104737000_small.png,,Corrientes,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Juliana,Santillán Juárez Brahim,diputado,https://parlamentaria.hcdn.gob.ar/image/27273796229_20231128102511000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Santiago,Santurio,diputado,https://parlamentaria.hcdn.gob.ar/image/20334340660_20231220212146000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Gisela,Scaglia,diputado,https://parlamentaria.hcdn.gob.ar/image/27254532164_20251126150327000_small.png,,Santa Fe,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Juan,Schiaretti,diputado,https://parlamentaria.hcdn.gob.ar/image/20077998412_20260211164128000_small.png,,Cordoba,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2025-2029,2026-02-12,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Darío,Schneider,diputado,https://parlamentaria.hcdn.gob.ar/image/20169551139_20251126151156000_small.png,,Entre Rios,UCR - UNIÓN CÍVICA RADICAL,UCR - UNIÓN CÍVICA RADICAL,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Sabrina,Selva,diputado,https://parlamentaria.hcdn.gob.ar/image/27326867476_20250609144435000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Adriana Cristina,Serquis,diputado,https://parlamentaria.hcdn.gob.ar/image/27184140115_20251204155243000_small.png,,Rio Negro,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Vanesa Raquel,Siley,diputado,https://parlamentaria.hcdn.gob.ar/image/27311140693_20251127081950000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Guillermo,Snopek,diputado,https://parlamentaria.hcdn.gob.ar/image/20243992371_20231128095550000_small.png,,Jujuy,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Laura,Soldano,diputado,https://parlamentaria.hcdn.gob.ar/image/27282719938_20251126153213000_small.png,,Cordoba,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Julia,Strada,diputado,https://parlamentaria.hcdn.gob.ar/image/27344084039_20231128095848000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Jorge,Taiana,diputado,https://parlamentaria.hcdn.gob.ar/image/23083626739_20251127155233000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Rodolfo,Tailhade,diputado,https://parlamentaria.hcdn.gob.ar/image/20213862996_20200206125321_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Caren,Tepp,diputado,https://parlamentaria.hcdn.gob.ar/image/27327025533_20251126153919000_small.png,,Santa Fe,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Paulo Agustín,Tita,diputado,https://parlamentaria.hcdn.gob.ar/image/20250816031_20251202135647000_small.png,,Tierra del Fuego,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Pablo,Todero,diputado,https://parlamentaria.hcdn.gob.ar/image/20225253324_20231128101514000_small.png,,Neuquen,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Victoria,Tolosa Paz,diputado,https://parlamentaria.hcdn.gob.ar/image/27234850666_20231212100552000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Yamile,Tomassoni,diputado,https://parlamentaria.hcdn.gob.ar/image/27267199049_20251211120125000_small.png,,Santa Fe,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Alejandra,Torres,diputado,https://parlamentaria.hcdn.gob.ar/image/27142911502_20231206151657000_small.png,,Cordoba,PROVINCIAS UNIDAS,PROVINCIAS UNIDAS,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Rubén Darío,Torres,diputado,https://parlamentaria.hcdn.gob.ar/image/20255454995_20251201151659000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Aníbal,Tortoriello,diputado,https://parlamentaria.hcdn.gob.ar/image/20129790351_20240202135114000_small.png,,Rio Negro,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
José Federico,Tournier,diputado,https://parlamentaria.hcdn.gob.ar/image/20244166246_20240814152633000_small.png,,Corrientes,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2024-08-14,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
César,Treffinger,diputado,https://parlamentaria.hcdn.gob.ar/image/20242671652_20231206151800000_small.png,,Chubut,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Nicolás Alfredo,Trotta,diputado,https://parlamentaria.hcdn.gob.ar/image/20249577163_20251126094055000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Hernán,Urien,diputado,https://parlamentaria.hcdn.gob.ar/image/20341556253_20251126154824000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Eduardo Félix,Valdés,diputado,https://parlamentaria.hcdn.gob.ar/image/20116408997_20231205095438000_small.png,,Ciudad de Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Daniel,Vancsik,diputado,https://parlamentaria.hcdn.gob.ar/image/20245096152_20231128095424000_small.png,,Misiones,INNOVACIÓN FEDERAL,INNOVACIÓN FEDERAL,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Patricia,Vásquez,diputado,https://parlamentaria.hcdn.gob.ar/image/27120466483_20231128103226000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Yolanda,Vega,diputado,https://parlamentaria.hcdn.gob.ar/image/27182307349_20231128103453000_small.png,,Salta,INNOVACIÓN FEDERAL,INNOVACIÓN FEDERAL,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
M. Elena,Velázquez,diputado,https://parlamentaria.hcdn.gob.ar/image/27204775708_20251127075732000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Andrea Fernanda,Vera,diputado,https://parlamentaria.hcdn.gob.ar/image/27386299175_20251126155353000_small.png,,Buenos Aires,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Pamela Fernanda,Verasay,diputado,https://parlamentaria.hcdn.gob.ar/image/27281591954_20251211094515000_small.png,,Mendoza,UCR - UNIÓN CÍVICA RADICAL,UCR - UNIÓN CÍVICA RADICAL,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Lorena,Villaverde,diputado,https://parlamentaria.hcdn.gob.ar/image/23238322464_20231128105805000_small.png,,Rio Negro,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Gino,Visconti,diputado,https://parlamentaria.hcdn.gob.ar/image/20379994580_20251127080438000_small.png,,La Rioja,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Luana,Volnovich,diputado,https://parlamentaria.hcdn.gob.ar/image/27188873559_20231205095034000_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Hugo,Yasky,diputado,https://parlamentaria.hcdn.gob.ar/image/23082070699_20200206125341_small.png,,Buenos Aires,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Pablo Raúl,Yedlin,diputado,https://parlamentaria.hcdn.gob.ar/image/20176149923_20231128100642000_small.png,,Tucuman,UNIÓN POR LA PATRIA,UNIÓN POR LA PATRIA,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Martín,Yeza,diputado,https://parlamentaria.hcdn.gob.ar/image/20319778110_20231128103139000_small.png,,Buenos Aires,PRO,PRO,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Oscar,Zago,diputado,https://parlamentaria.hcdn.gob.ar/image/23165838009_20231129153517000_small.png,,Ciudad de Buenos Aires,MID - MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,MID - MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,2023-2027,2023-12-10,2027-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
Carlos Raúl,Zapata,diputado,https://parlamentaria.hcdn.gob.ar/image/20127901628_20251127080650000_small.png,,Salta,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,2025-2029,2025-12-10,2029-12-09,https://www.hcdn.gob.ar/diputados/,H. Camara de Diputados de la Nacion (nomina oficial en vivo),
