nombre,apellido,cargo,provincia,bloque,mandato,foto_url,wikidata_id,fuente_url,fuente_nombre
María,Gracielade la Rosa,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Gerardo,GustavoGonzález,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
María,GracielaParola,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
María,InésZigarán,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Varinia,LisMarín,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
HildaAguirre,de Soria,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Sergio,GuillermoCasas,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Lourdes,MicaelaArrieta,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
FacundoCorrea,Llano,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
JulietaMetral,Asensio,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Pamela,FernandaVerasay,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Innovación,Federal,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Gabriela,LucianaMuñoz,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Sergio,EduardoCapozzi,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Adriana,CristinaSerquis,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Maria,GabrielaFlores,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
JulioMoreno,Ovalle,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
Carlos,RaúlZapata,diputado,,,,,,https://es.wikipedia.org/wiki/Anexo:Diputados_nacionales_de_Argentina_(2025-2027),Wikipedia - Anexo:Diputados nacionales de Argentina (2025-2027)
